timestamp,value
2011-06-16,1002.6
2011-06-17,1401.3
2011-06-18,1883.7
2011-06-19,529.2
2011-06-20,570.6
2011-06-21,640.8000000000001
2011-06-22,638.1
2011-06-23,689.4
2011-06-24,1320.3
2011-06-25,1380.6000000000001
2011-06-26,433.8
2011-06-27,627.3000000000001
2011-06-28,549.0
2011-06-29,624.6
2011-06-30,782.1
2011-07-01,1082.7
2011-07-02,1086.3
2011-07-03,370.8
2011-07-04,670.5
2011-07-05,744.3000000000001
2011-07-06,465.3
2011-07-07,565.2
2011-07-08,783.0
2011-07-09,945.9
2011-07-10,388.8
2011-07-11,481.5
2011-07-12,489.6
2011-07-13,598.5
2011-07-14,719.1
2011-07-15,866.7
2011-07-16,1039.5
2011-07-17,461.7
2011-07-18,495.90000000000003
2011-07-19,486.0
2011-07-20,724.5
2011-07-21,720.9
2011-07-22,997.2
2011-07-23,1267.2
2011-07-24,483.3
2011-07-25,569.7
2011-07-26,623.7
2011-07-27,566.1
2011-07-28,617.4
2011-07-29,1495.8
2011-07-30,1638.9
2011-07-31,492.3
2011-08-01,422.1
2011-08-02,1005.3000000000001
2011-08-03,607.5
2011-08-04,687.6
2011-08-05,1171.8
2011-08-06,1722.6000000000001
2011-08-07,738.0
2011-08-08,592.2
2011-08-09,605.7
2011-08-10,575.1
2011-08-11,686.7
2011-08-12,927.0
2011-08-13,1194.3
2011-08-14,537.3000000000001
2011-08-15,681.3000000000001
2011-08-16,778.5
2011-08-17,620.1
2011-08-18,689.4
2011-08-19,945.0
2011-08-20,1185.3
2011-08-21,513.9
2011-08-22,580.5
2011-08-23,654.3000000000001
2011-08-24,639.9
2011-08-25,566.1
2011-08-26,1097.1000000000001
2011-08-27,1377.0
2011-08-28,495.0
2011-08-29,438.3
2011-08-30,485.1
2011-08-31,512.1
2011-09-01,776.7
2011-09-02,914.4
2011-09-03,1186.2
2011-09-04,563.4
2011-09-05,1262.7
2011-09-06,699.3000000000001
2011-09-07,572.4
2011-09-08,665.1
2011-09-09,896.4
2011-09-10,1012.5
2011-09-11,394.2
2011-09-12,377.1
2011-09-13,545.4
2011-09-14,650.7
2011-09-15,777.6
2011-09-16,922.5
2011-09-17,1181.7
2011-09-18,448.2
2011-09-19,489.6
2011-09-20,496.8
2011-09-21,603.9
2011-09-22,545.4
2011-09-23,1087.2
2011-09-24,1488.6000000000001
2011-09-25,404.1
2011-09-26,449.1
2011-09-27,495.90000000000003
2011-09-28,446.40000000000003
2011-09-29,492.3
2011-09-30,997.2
